id,weekId,position,type,title,url,note,author,creationDate,mediaType,promptText,estimatedMinutes
1,1,1,reading,Beyond Vibe Coding: A Guide to AI-Assisted Development,https://beyond.addy.ie/,The definitive guide from Google Engineering Leader on mastering the spectrum from rapid prototyping to production-ready AI-assisted engineering.,Addy Osmani,2024,Blog/Article,,45
2,1,2,reading,Cursor AI Tutorial for Beginners (YouTube),https://www.youtube.com/watch?v=gqUQbjsYZLQ,Comprehensive tutorial on using Cursor AI IDE for vibe coding. Covers setup and best practices and cursor rules configuration.,Greg Isenberg,2024,YouTube Video,,45
3,1,3,reading,Vibe Coding is Not the Same as AI-Assisted Engineering,https://medium.com/@addyosmani/vibe-coding-is-not-the-same-as-ai-assisted-engineering-3f81088d5b98,Critical distinction between casual AI prompting and disciplined AI-augmented workflows.,Addy Osmani,November 2025,Blog/Article,,20
4,1,4,reading,Vibe Coding in 2026: The Complete Guide to AI-Pair Programming,https://dev.to/pockit_tools/vibe-coding-in-2026-the-complete-guide-to-ai-pair-programming-that-actually-works-42de,Practical guide covering mental models and workflows and prompting techniques.,Pockit Tools,January 2026,Blog/Article,,30
5,1,5,reading,Awesome Vibe Coding Guide (GitHub),https://github.com/analyticalrohit/awesome-vibe-coding-guide,Community-curated best practices for efficient AI-assisted coding.,analyticalrohit,2025,Blog/Article,,25
6,1,6,reading,AI-Assisted Software Development and the Vibe Coding Debate,https://cybersecurityadvisors.network/2025/08/06/ai-assisted-software-development-and-the-vibe-coding-debate-by-nick-kelly/,Critical analysis of code quality risks in vibe coding.,Nick Kelly,August 2025,Blog/Article,,20
7,1,7,exercise,Audit Your AI Workflow Position,,Reflect on your current AI-assisted development practice and identify improvements.,,,,Write a 300-word self-assessment identifying 3 specific workflow improvements you will implement.,45
8,2,1,reading,The Developer Guide to Design Tokens and CSS Variables,https://penpot.app/blog/the-developers-guide-to-design-tokens-and-css-variables/,Foundational explainer on the difference between design tokens and CSS custom properties.,Penpot,December 2025,Blog/Article,,25
9,2,2,reading,Design Systems Handbook: Chapter 1 - Introducing Design Systems,https://www.designbetter.co/design-systems-handbook,Free handbook from InVision covering design system foundations. Chapter 1 explains why design systems matter and how they reduce design debt.,Marco Suarez and Jina Anne and Katie Sylor-Miller,2017,Book Chapter,,30
10,2,3,reading,Using Design Tokens as Variables: Best Practices,https://designtokens.substack.com/p/using-design-tokens-as-variables,Deep dive on implementing tokens in three layers: primitives to semantic aliases to component slots.,Design Tokens Newsletter,November 2025,Blog/Article,,30
11,2,4,reading,Design Tokens Naming Structure,https://medium.com/@brcsndr/you-dont-know-css-design-tokens-naming-structure-52add5d02682,Practical naming convention guide using Component-Variant-Kind-Modifier-Property structure.,Bryce Snyder,November 2023,Blog/Article,,15
12,2,5,reading,How to Use Tokens in Design Systems (LogRocket),https://blog.logrocket.com/ux-design/how-to-use-tokens-in-design-systems/,Figma-focused tutorial on creating design variables that export as tokens.,Daniel Schwarz,December 2024,Blog/Article,,25
13,2,6,reading,What Are Design Tokens? (CSS-Tricks),https://css-tricks.com/what-are-design-tokens/,Classic explainer on design tokens as platform-agnostic design decisions.,Robin Rendle,2019,Blog/Article,,15
14,2,7,reading,Design Tokens: Fundamental Building Blocks of Design Systems,https://www.telerik.com/blogs/design-tokens-fundamental-building-blocks-design-systems,Comprehensive guide with practical CSS variable examples.,Hassan Djirdeh,June 2024,Blog/Article,,20
15,2,8,exercise,Build Your Token Architecture,,Create a design token system for a micro-SaaS dashboard.,,,,Deliverables: JSON primitives file and semantic layer and CSS variables file with documentation.,90
16,3,1,reading,Design Systems And AI: Why MCP Servers Are The Unlock,https://www.figma.com/blog/design-systems-ai-mcp/,Figma official announcement of their MCP server.,Ana Boyer / Figma,2025,Blog/Article,,20
17,3,2,reading,Introduction to Figma Variables and Design Tokens (YouTube),https://www.youtube.com/watch?v=1ONxxlJnvdM,Official Figma tutorial on using variables for design tokens. Essential for understanding Figma-to-code workflows.,Figma,2023,YouTube Video,,20
18,3,3,reading,Dear LLM Here Is How My Design System Works,https://uxdesign.cc/dear-llm-heres-how-my-design-system-works-b59fb9a342b7,Practical guide on structuring Figma files for AI interpretation.,Oleksandra Huba,November 2025,Blog/Article,,25
19,3,4,reading,Building AI-Driven Workflows with Claude Code and Codex CLI,https://uxdesign.cc/designing-with-claude-code-and-codex-cli-building-ai-driven-workflows-powered-by-code-connect-ui-f10c136ec11f,Designer perspective on using agentic CLI tools with Figma MCP.,Iasonas Georgiadis,October 2025,Blog/Article,,30
20,3,5,reading,The Right Code for Your Design System: Introducing Code Connect,https://www.figma.com/blog/introducing-code-connect/,Official guide to Figma Code Connect feature.,Figma,2024,Blog/Article,,20
21,3,6,reading,From Figma to Production Code in 30 Minutes,https://dev.to/__8f10a1a58b86/from-figma-to-production-code-in-30-minutes-a-systematic-ai-assisted-workflow-2nee,Step-by-step workflow using shadcn/ui Figma kit.,DEV Community,August 2025,Blog/Article,,35
22,3,7,reading,Figma to Code: Using Your Design System with AI,https://www.builder.io/blog/figma-design-system-component-mapping,Tutorial on component mapping for AI.,Builder.io,September 2025,Blog/Article,,25
23,3,8,exercise,Configure Your MCP Workflow,,Set up a Figma-to-code workflow using MCP.,,,,Deliverables: Structured Figma file and design-system-rules.md and workflow documentation.,120
24,4,1,reading,Why AI Coding Tools Love shadcn/ui,https://www.shadcn.io/ui/why-ai-coding-tools-love-shadcn-ui,Why transparent component architecture beats black-box libraries for AI.,shadcn.io,2025,Blog/Article,,15
25,4,2,reading,Build a Complete App with shadcn/ui (YouTube),https://www.youtube.com/watch?v=7MKEOfSP2s4,Step-by-step tutorial building a production app with shadcn/ui and Tailwind CSS. Shows the transparent component architecture in action.,Theo Browne,2024,YouTube Video,,35
26,4,3,reading,shadcn/ui Official Documentation,https://ui.shadcn.com/,The official shadcn/ui documentation.,shadcn,2024,Blog/Article,,30
27,4,4,reading,Why Designers Should Care About Tailwind and shadcn,https://designedforhumans.tech/blog/why-should-designers-care-about-tailwind-and-shadcn-in-the-ai-era,Designer-focused guide on using Tailwind and shadcn.,Designed for Humans,November 2025,Blog/Article,,20
28,4,5,reading,How I Use Cursor (+ My Best Tips),https://www.builder.io/blog/cursor-tips,Practical Cursor IDE tips.,Builder.io,September 2025,Blog/Article,,25
29,4,6,reading,Cursor AI Complete Guide: MCPs and Rules and Context Engineering,https://medium.com/@hilalkara.dev/cursor-ai-complete-guide-2025-real-experiences-pro-tips-mcps-rules-context-engineering-6de1a776a8af,Comprehensive guide on context engineering.,Hilal Kara,August 2025,Blog/Article,,35
30,4,7,reading,14 Best React UI Component Libraries in 2026,https://www.untitledui.com/blog/react-component-libraries,Comparison of shadcn/ui and alternatives.,Untitled UI,December 2025,Blog/Article,,20
31,4,8,exercise,Build a Design-System-Aware Component,,Build a production-grade UI component using the full workflow.,,,,Deliverables: Figma design and shadcn/ui component and variants and reflection write-up.,150
32,5,1,reading,Large Language Model - Wikipedia,https://en.wikipedia.org/wiki/Large_language_model,Comprehensive overview of LLMs including architecture and training and evolution.,Wikipedia,2025,Blog/Article,,30
33,5,2,reading,But What Is a GPT? Visual Intro to Transformers (YouTube),https://www.youtube.com/watch?v=wjZofJX0v4M,3Blue1Brown visual explanation of transformer architecture and word embeddings. Makes complex concepts intuitive through beautiful animations.,3Blue1Brown (Grant Sanderson),2024,YouTube Video,,27
34,5,3,reading,A Brief History of LLMs: From Transformers to DeepSeek-R1,https://medium.com/@lmpo/a-brief-history-of-lmms-from-transformers-2017-to-deepseek-r1-2025-dae75dd3f59a,Traces the evolution from 2017 Transformer architecture through GPT and BERT and ChatGPT.,LM Po,November 2025,Blog/Article,,25
35,5,4,reading,Generative Pre-trained Transformer - Wikipedia,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Deep dive into GPT architecture from GPT-1 through GPT-4o and reasoning models.,Wikipedia,2025,Blog/Article,,25
